year,country,dwellings,population,new_dwellings,new_by_pop,rolling
1981,Taiwan,3818393.2,18266181,141093.2000000002,7.724285662120626,64.68007700648116
1982,Taiwan,3959486.4,18502564,141093.19999999972,7.625602592159645,66.51750176047543
1983,Taiwan,4100579.6,18738947,141093.2000000002,7.5294092031958995,68.3702193389123
1984,Taiwan,4241672.8,18975330,141093.19999999972,7.4356124504817425,70.23641285819649
1985,Taiwan,4382766,19211713,141093.2000000002,7.344123868600378,72.11441140832603
1986,Taiwan,4523859.2,19448096,141093.2000000002,7.254859293166806,72.1939137184297
1987,Taiwan,4664952.4,19684479,141093.2000000002,7.167738602581261,72.3342387045421
1988,Taiwan,4806045.6,19920862,141093.19999999925,7.082685478168528,72.53147650772047
1989,Taiwan,4947138.8,20157245,141093.2000000002,6.999627181194661,72.7819996199207
1990,Taiwan,5088232,20393628,141093.2000000002,6.918494345390638,73.08243867706018
1991,Taiwan,5278718.7,20584358.1,190486.7000000002,9.253953855379157,74.61210687031871
1992,Taiwan,5469205.4,20775088.2,190486.7000000002,9.168995970857068,76.15550024901613
1993,Taiwan,5659692.1,20965818.3,190486.69999999925,9.085583842916318,77.71167488873655
1994,Taiwan,5850178.8,21156548.4,190486.7000000002,9.00367566573384,79.27973810398865
1995,Taiwan,6040665.5,21347278.5,190486.7000000002,8.923231127565053,80.85884536295333
1996,Taiwan,6231152.2,21538008.6,190486.7000000002,8.844211344590148,82.44819741437666
1997,Taiwan,6421638.9,21728738.7,190486.7000000002,8.76657879824383,84.04703761003923
1998,Taiwan,6612125.6,21919468.8,190486.69999999925,8.69029727581716,85.65464940768786
1999,Taiwan,6802612.3,22110198.9,190486.7000000002,8.615331814133983,87.2703540406272
2000,Taiwan,6993099,22300929,190486.7000000002,8.541648646116949,88.89350834135351
2001,Taiwan,7101242,22383222.7,108143,4.831431177245089,84.47098566321945
2002,Taiwan,7209385,22465516.4,108143,4.813733104305584,80.11572279666795
2003,Taiwan,7317528,22547810.1,108143,4.796164218182766,75.8263031719344
2004,Taiwan,7425671,22630103.8,108143,4.778723109524579,71.60135061572512
2005,Taiwan,7533814,22712397.5,108143,4.7614083894049495,67.43952787756503
2006,Taiwan,7641957,22794691.2,108143,4.744218688955084,63.33953522192997
2007,Taiwan,7750100,22876984.9,108143,4.727152659002717,59.30010908268887
